Kod,Nazwa,JM,WysokoscCm,SzerokoscCm,DlugoscCm,JmZ,Przelicznik_JmJmZ,WagaKG,Typ,NumerKatalogowy,SWW,Grupa,StanMin,StanMax,VAT,VATZak,VATFlaga,VatZakFlaga,EAN,Opis,OpakowanieKaucja,OdwrotneObciazenie,CenaZCzteremaMiejscami,Granica ceny,Minimalna cena/mar¿a,Dostawca,Kod u dostawcy,Kod producenta,KosztUslugiTyp,KosztUslugi,KosztUslugiWal,Waluta,Intrastat - kod CN,Intrastat - kraj pochodzenia,Intrastat - masa,Intrastat - JmPomPrzelicznikL,Intrastat - JmPomPrzelicznikM,Podzielona p³atnoœæ,Cena zakupu,Waluta Cena zakupu,Cena hurtowa 1,Waluta Cena hurtowa 1,Cena hurtowa 2,Waluta Cena hurtowa 2,Cena hurtowa 3,Waluta Cena hurtowa 3,Cena detaliczna,Waluta Cena detaliczna
1015-uniw,Œwieca dymna JFS-2 - zielona,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,4.93,PLN,11.22,PLN,0,PLN,0,PLN,13.8,PLN
1016-uniw,P1000,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1017-uniw,Matabrujas,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1018-uniw,Gorilla bomb,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1019-uniw,Wiruj¹ce B¹czki Toupie TC10 - 5 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221909735,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,2.03,PLN,0,PLN,0,PLN,2.5,PLN
101-uniw,Gaz pieprzowy KOLTER GUARD-PRO 50 ml ¿el,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,36.59,PLN,0,PLN,0,PLN,45,PLN
1020-uniw,Lont 100m TROPIC,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1021-uniw,Strzelaj¹ce diabe³ki PXG105 - 50 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5901721792234,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0.59,PLN,2.44,PLN,0,PLN,0,PLN,3,PLN
1022-uniw,Small Pirates Caraibes SFA0201F - 600 sztuk!,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.6,PLN,0,PLN,0,PLN,15.5,PLN
1023-uniw,Petardy hukowe ACHTUNG TP26 - 4 sztuki,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,11.06,PLN,0,PLN,0,PLN,13.6,PLN
1024-uniw,Petardy hukowe ACHTUNG TP25 - 4 sztuki,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,11.75,PLN,0,PLN,0,PLN,14.45,PLN
1025-uniw,Petardy hukowe Piratka TP23 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907782100216,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,4.02,PLN,0,PLN,0,PLN,4.95,PLN
1026-uniw,TP2 TOMASZEK,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1027-uniw,TP3 TOMASZEK,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1028-uniw,TW1 TOMASZEK,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1029-uniw,Zimne ognie Serca ZOK2 - 4 sztuki,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,4.47,PLN,0,PLN,0,PLN,5.5,PLN
102-uniw,Petardy Achtung BIG TXP001 - 5 SZTUK,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160212633,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,9.35,PLN,0,PLN,0,PLN,11.5,PLN
1030-uniw,TMO2 TOMASZEK,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1031-uniw,Strzelaj¹ce diabe³ki P0002 - 50 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604905005,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1.1,PLN,0,PLN,0,PLN,1.35,PLN
1032-uniw,Hukowa pi³ka P1102 - 6 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0.8,PLN,0,PLN,0,PLN,0.99,PLN
1033-uniw,Hukowa pi³ka P1103 XXL - 6 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1.5,PLN,0,PLN,0,PLN,1.85,PLN
1034-uniw,Crash P1205 - 50 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,907604915653,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,1.23,PLN,2.44,PLN,0,PLN,0,PLN,3,PLN
1035-uniw,Skull P1206 - 20 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604915660,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1.79,PLN,0,PLN,0,PLN,2.2,PLN
1036-uniw,Turbo P1221 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604915783,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,2.2,PLN,4.23,PLN,0,PLN,0,PLN,5.2,PLN
1037-uniw,Petardy hukowe Dragon P1222 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604915790,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,4.07,PLN,0,PLN,0,PLN,5,PLN
1038-uniw,Petardy hukowe Killer P1223 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604915806,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,3.5,PLN,0,PLN,0,PLN,4.3,PLN
1039-uniw,"Genua P7205 - 12 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.6,PLN,0,PLN,0,PLN,15.5,PLN
103-uniw,Petardy Dynamite TXP066 - 5 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210660,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,11.38,PLN,0,PLN,0,PLN,14,PLN
1040-uniw,"Elba P7207 - 12 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.56,PLN,0,PLN,0,PLN,15.45,PLN
1041-uniw,"Lima P7208 - 12 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.6,PLN,0,PLN,0,PLN,15.5,PLN
1042-uniw,"Lion P7225 - 12 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604905128,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,20,PLN,0,PLN,0,PLN,24.6,PLN
1043-uniw,"RPA P7226 - 15 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604905135,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,26.5,PLN,0,PLN,0,PLN,32.6,PLN
1044-uniw,"Indie P7227 - 15 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604905142,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,26.34,PLN,0,PLN,0,PLN,32.4,PLN
1045-uniw,"Black Eye P7058 - 16 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604903537,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,15.43,PLN,30.08,PLN,0,PLN,0,PLN,37,PLN
1046-uniw,"Aruba P7228 - 16 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,28.7,PLN,0,PLN,0,PLN,35.3,PLN
1047-uniw,"Moza P7306 - 16 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604905227,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,42.2,PLN,0,PLN,0,PLN,51.9,PLN
1048-uniw,"Kama P7307 - 16 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,43.09,PLN,0,PLN,0,PLN,53,PLN
1049-uniw,"Genialna P7224  - 16 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,43.09,PLN,0,PLN,0,PLN,53,PLN
