Kod,Nazwa,JM,WysokoscCm,SzerokoscCm,DlugoscCm,JmZ,Przelicznik_JmJmZ,WagaKG,Typ,NumerKatalogowy,SWW,Grupa,StanMin,StanMax,VAT,VATZak,VATFlaga,VatZakFlaga,EAN,Opis,OpakowanieKaucja,OdwrotneObciazenie,CenaZCzteremaMiejscami,Granica ceny,Minimalna cena/mar¿a,Dostawca,Kod u dostawcy,Kod producenta,KosztUslugiTyp,KosztUslugi,KosztUslugiWal,Waluta,Intrastat - kod CN,Intrastat - kraj pochodzenia,Intrastat - masa,Intrastat - JmPomPrzelicznikL,Intrastat - JmPomPrzelicznikM,Podzielona p³atnoœæ,Cena zakupu,Waluta Cena zakupu,Cena hurtowa 1,Waluta Cena hurtowa 1,Cena hurtowa 2,Waluta Cena hurtowa 2,Cena hurtowa 3,Waluta Cena hurtowa 3,Cena detaliczna,Waluta Cena detaliczna
1872-uniw,"Global Fireworks TXB112 - 100 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160211124,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,143.32,PLN,275.61,PLN,0,PLN,0,PLN,339,PLN
1873-uniw,Petardy hukowe Pluton TXP010A - 20 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210103,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,11.38,PLN,0,PLN,0,PLN,14,PLN
1874-uniw,Petardy hukowe Dark Angel TXP230A - 10 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-1874-1874,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,10.81,PLN,0,PLN,0,PLN,13.3,PLN
1875-uniw,"Lockout TXB095 - 37 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210950,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,102.36,PLN,0,PLN,0,PLN,125.9,PLN
1876-uniw,"DayBreak TXB083 - 37 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210837,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,101.46,PLN,0,PLN,0,PLN,124.8,PLN
1877-uniw,600 sztuk - KORSARZ SALUT K0201(KCE201),opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,17.89,PLN,0,PLN,0,PLN,22,PLN
1878-uniw,SIGNALOS Small 3.0 DCR01 - 20 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,14.47,PLN,0,PLN,0,PLN,17.8,PLN
1879-uniw,Emiter dŸwiêku Nitrate 2 DP2  - 20 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-51-1879,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,14.47,PLN,0,PLN,0,PLN,17.8,PLN
187-uniw,"Victory TXB153 - 12 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160211537,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,26.02,PLN,0,PLN,0,PLN,32,PLN
1880-uniw,"Baracuda C-2 / DB35 - 25 strza³ów 2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,247.97,PLN,0,PLN,0,PLN,305,PLN
1881-uniw,"Baracuda C-3 / DB36 - 25 strza³ów 2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,247.97,PLN,0,PLN,0,PLN,305,PLN
1882-uniw,Wiruj¹cy Rotacek DP1R - 6 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182490579,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1.87,PLN,0,PLN,0,PLN,2.3,PLN
1883-uniw,Srebrny wulkan F250SS 250g,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182411789,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,11.66,PLN,21.95,PLN,0,PLN,0,PLN,27,PLN
1884-uniw,Crackling wulkan F250SC 250g,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-535-1884,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,15.45,PLN,0,PLN,0,PLN,19,PLN
1885-uniw,Kolorowy wulkan F250C 250g,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182411833,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,13.33,PLN,0,PLN,0,PLN,16.4,PLN
1886-uniw,Scream rocket micro (Gwizdz¹ce rakietki) RS1 - 144 sztuki,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-631-1886,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,47.4,PLN,0,PLN,0,PLN,58.3,PLN
1887-uniw,"Houbicky C1625G - 16 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182470960,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,50.57,PLN,0,PLN,0,PLN,62.2,PLN
1888-uniw,Knight of Justice C78FMK - fontanna + 78 strza³ów,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182472322,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,437.4,PLN,0,PLN,0,PLN,538,PLN
1889-uniw,Bad Boy C106MB - 106 MIX,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182417996,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,307.24,PLN,0,PLN,0,PLN,377.9,PLN
188-uniw,"Aurora TXB423 - 12 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160214231,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,27.07,PLN,0,PLN,0,PLN,33.3,PLN
1890-uniw,Night Breaker C100MN - 100 strza³ów MIX,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182428848,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,315.93,PLN,0,PLN,0,PLN,388.6,PLN
1891-uniw,"Happy Birthday C1003VS/C - 100 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182428688,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,542.28,PLN,0,PLN,0,PLN,668,PLN
1892-uniw,"Gundam FS12-02 - fontanna + 12 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,18.78,PLN,0,PLN,0,PLN,23.1,PLN
1893-uniw,SL19-07D,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,56.65,PLN,0,PLN,0,PLN,122,PLN
1894-uniw,SL27-01,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,81.8,PLN,0,PLN,0,PLN,100.61,PLN
1895-uniw,SL27-03,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,83.49,PLN,0,PLN,0,PLN,102.69,PLN
1896-uniw,"Ballet TXB662 - fontanna + 11 strza³ów 0.3""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160216624,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,6.5,PLN,0,PLN,0,PLN,8,PLN
1897-uniw,"Rzymskie ognie Kalejdoskop TXC419 - 5 strza³ów 0.8"" (2 sztuki)",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160214194,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,8.46,PLN,16.26,PLN,0,PLN,0,PLN,20,PLN
1898-uniw,"Magic Shots Balls TXC494 - 10 strza³ów 0.3"" (12 sztuk)",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160214941,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,9.3,PLN,12.2,PLN,0,PLN,0,PLN,15,PLN
1899-uniw,"Rzymskie Ognie Phoenix/Tiger TXC861  - 5 strza³ów 0.8"" (2 sztuki)",opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,12.4,PLN,16.26,PLN,0,PLN,0,PLN,20,PLN
189-uniw,"X-Emotion TXB756 - 19 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160217560,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,56.1,PLN,0,PLN,0,PLN,69,PLN
18-uniw,4 x Magical Barrage T2516,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,6.5,PLN,0,PLN,0,PLN,8,PLN
1900-uniw,"Rzymskie Ognie  Light of River/Night of Fire TXC863  - 8 strza³ów 0.8"" (2 sztuki)",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160218635,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,12.68,PLN,24.39,PLN,0,PLN,0,PLN,30,PLN
1901-uniw,Kraka Toom TXP535 - 8 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160215351,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0.85,PLN,1.87,PLN,0,PLN,0,PLN,2.3,PLN
1902-uniw,Zestaw Big Party TXR113,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160211131,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,21.98,PLN,42.28,PLN,0,PLN,0,PLN,52,PLN
1903-uniw,"X00002 RURA 2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,21,PLN,0,PLN,0,PLN,25.83,PLN
1904-uniw,Spring Butterfly W526/LA6210M - 12 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221908356,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,9.39,PLN,18.78,PLN,0,PLN,0,PLN,23.1,PLN
1905-uniw,"Du¿e lataj¹ce motyle ""UFO"" TR9901 - 5 sztuk",opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221665587,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,9.82,PLN,19.67,PLN,0,PLN,0,PLN,24.2,PLN
1906-uniw,Red Warrior Rockets CP323 - 8 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221909698,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,8.53,PLN,15.93,PLN,0,PLN,0,PLN,19.6,PLN
1907-uniw,BF25S-1020 TROPIC,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,69.32,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1908-uniw,BI25S1-218 TROPIC,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,55.15,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1909-uniw,TXB 869 600,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1691.06,PLN,0,PLN,0,PLN,2080,PLN
190-uniw,"Hell Fighter TXB105 - 19 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160211056,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,29.27,PLN,0,PLN,0,PLN,36,PLN
1910-uniw,TXB870,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,1056.91,PLN,0,PLN,0,PLN,1300,PLN
1911-uniw,Race pistoletowe Solar Stars RP3 - 50 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8058159650135,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,35.98,PLN,69.11,PLN,0,PLN,0,PLN,85,PLN
1912-uniw,Zestaw fajerwerków IMPULS PXZ205,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5901721791312,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,42.44,PLN,0,PLN,0,PLN,52.2,PLN
1913-uniw,Pooping Dog PPX0072 - 2 sztuki,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8592209008212,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.03,PLN,0,PLN,0,PLN,14.8,PLN
1914-uniw,BANNER/1 3X2M. DU¯Y JORGE,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,8.13,PLN,0,PLN,0,PLN,10,PLN
1915-uniw,BANNER/4 3X1M. ŒREDNI JORGE,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,8.13,PLN,0,PLN,0,PLN,10,PLN
1916-uniw,"PLAKAT/1 (POSTER/1) PL JORGE ""GOODS""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0.08,PLN,0,PLN,0,PLN,0.1,PLN
1917-uniw,"PLAKAT/1 (POSTER/2) PL JORGE ""LOGO""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0.08,PLN,0,PLN,0,PLN,0.1,PLN
1918-uniw,"Pentagon C7216 - 140 strza³ów 1""/1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-51-1918,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,421.08,PLN,809.76,PLN,0,PLN,0,PLN,996,PLN
1919-uniw,"Phantom C7202 - 120 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604916988,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,283.08,PLN,518.7,PLN,0,PLN,0,PLN,638,PLN
191-uniw,"Tourbillon TXB021 - 25 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210219,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,113.82,PLN,0,PLN,0,PLN,140,PLN
1920-uniw,Petardy Lontowe Czarny Pirat P1217 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,4.47,PLN,0,PLN,0,PLN,5.5,PLN
1921-uniw,Petardy huk+gwizd UZI P1224 - 12 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604918081,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,12.2,PLN,0,PLN,0,PLN,15,PLN
1922-uniw,"Sigma P7787 - 25 strza³ów 2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,177.99,PLN,342.28,PLN,0,PLN,0,PLN,421,PLN
1923-uniw,"Psycho P7793 - 16 strza³ów 2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604915981,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,178.86,PLN,0,PLN,0,PLN,220,PLN
1924-uniw,"Fireworks Show 390 C39020F/C - 390 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182426790,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,721.95,PLN,0,PLN,0,PLN,888,PLN
1925-uniw,Ma³y system do odpalania Klasek OZ4,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,144.47,PLN,0,PLN,0,PLN,177.7,PLN
1926-uniw,MIX kolorowych fontann F1M - 4 sztuki,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182411123,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,22.36,PLN,0,PLN,0,PLN,27.5,PLN
1927-uniw,"Samuraj CF493SA - 49 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182472124,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,298.54,PLN,0,PLN,0,PLN,367.2,PLN
1928-uniw,"Word CF493W - 49 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182472926,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,298.54,PLN,0,PLN,0,PLN,367.2,PLN
1929-uniw,"Mechanic CF493ME - 49 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182475101,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,155.21,PLN,298.54,PLN,0,PLN,0,PLN,367.2,PLN
192-uniw,"Szok TXB064 - 37 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210646,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,158.1,PLN,207.32,PLN,0,PLN,0,PLN,255,PLN
1930-uniw,"Best Price C1003BP/C - 100 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182429388,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,270.61,PLN,521.14,PLN,0,PLN,0,PLN,641,PLN
1932-uniw,Scream Rocket 2 FR-S2 - 6 sztuk,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,35.77,PLN,0,PLN,0,PLN,44,PLN
1933-uniw,"Jubilee Celebration SFC9005 - 200 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5903367090057,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,176.43,PLN,408.13,PLN,0,PLN,0,PLN,502,PLN
1934-uniw,"Liberty SFC9006 - 200 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,352.85,PLN,0,PLN,0,PLN,434,PLN
1935-uniw,Zestaw rakiet Yellow Rockets TR-01 - 6 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221909742,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,20.49,PLN,0,PLN,0,PLN,25.2,PLN
1936-uniw,Zestaw fajerwerków Premium Assortment - TA53,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221907823,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,34.72,PLN,45.53,PLN,0,PLN,0,PLN,56,PLN
1937-uniw,Zestaw fajerwerków Tajfun TA22,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221907847,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,27.32,PLN,0,PLN,0,PLN,33.6,PLN
1938-uniw,"Finale Cake 2 XB3002 - 19 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,53.66,PLN,0,PLN,0,PLN,66,PLN
1939-uniw,"Finale Cake 2 XB3005 - 25 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,67.48,PLN,0,PLN,0,PLN,83,PLN
193-uniw,"King of Sky TXB024 - 49 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210240,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,149.43,PLN,0,PLN,0,PLN,183.8,PLN
1940-uniw,Neon sparklers 28cm VP28N - 20 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182429135,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,5.93,PLN,11.38,PLN,0,PLN,0,PLN,14,PLN
1941-uniw,Neon sparklers 40cm VP40N - 8 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182429203,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,7.02,PLN,13.82,PLN,0,PLN,0,PLN,17,PLN
1942-uniw,Zimne ognie 40cm Crackling VP40P - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182428800,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,3.66,PLN,7.4,PLN,0,PLN,0,PLN,9.1,PLN
1943-uniw,"Turbo zimne ognie 40cm VP40TD	- 8 sztuk",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182429661,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,6.63,PLN,8.7,PLN,0,PLN,0,PLN,10.7,PLN
1945-uniw,"C4925VS	Vsie najlepsi k narozeninam",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182428626,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,159.59,PLN,0,PLN,0,PLN,196.3,PLN
1946-uniw,"Best Price C10025BP - 100 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182429319,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,303.25,PLN,0,PLN,0,PLN,410,PLN
1947-uniw,"Wizard attack C193W  - 19 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182422907,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,73.82,PLN,0,PLN,0,PLN,121.7,PLN
1948-uniw,"Wizard attack C193W14 - 19 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182424048,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,77.48,PLN,0,PLN,0,PLN,121.7,PLN
1949-uniw,"C193E14	Buldog",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,64.39,PLN,0,PLN,0,PLN,121.7,PLN
194-uniw,"Blue Neon TXB303 - 16 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,21.95,PLN,0,PLN,0,PLN,27,PLN
1950-uniw,"Best Price C253BP14 RED - 25 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,68.29,PLN,0,PLN,0,PLN,84,PLN
1951-uniw,"C493BP	Best price 49/30mm",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,125.32,PLN,256.1,PLN,0,PLN,0,PLN,315,PLN
1953-uniw,Pyro show fountains F9P - 90 sekund,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,8595182498674,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,41.46,PLN,0,PLN,0,PLN,51,PLN
1954-uniw,Zestaw Rakiet Big Jumbo TXR439 - 21 rakiet,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160214392,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,101.04,PLN,194.31,PLN,0,PLN,0,PLN,239,PLN
1955-uniw,Zestaw fajerwerków Familiada TXR927,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160219274,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,27.35,PLN,75.61,PLN,0,PLN,0,PLN,93,PLN
1956-uniw,Dragon Eggs TC17 - 12 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221907854,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,1.03,PLN,2.03,PLN,0,PLN,0,PLN,2.5,PLN
1957-uniw,Zestaw fajerwerków Piroman 2 TA2,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221905751,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,17.07,PLN,0,PLN,0,PLN,21,PLN
1958-uniw,DB21 RETORNO 25,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1959-uniw,VP12T1,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
195-uniw,"Color Wave TXB645 - 16 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160216457,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,16.02,PLN,30.89,PLN,0,PLN,0,PLN,38,PLN
